"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"lp__",-8783.477405,-8782.935,18.877320442074,18.8734980000007,-8815.143,-8753.087,1.00196978950108,1220.75796330731,2061.62554603448,"1"
"beta0",9.2764093725,9.26929,0.728283963912295,0.713286272999999,8.0809215,10.49761,1.00542309155393,680.683457157813,1492.27434812167,"2"
"beta_i[1]",0.20715024556175,0.2133375,0.499023588739636,0.4904774385,-0.64101775,1.0279975,1.00288116128902,1073.74282058099,1750.73765044326,"3"
"beta_i[2]",0.086626697571035,0.09385195,0.499015457989573,0.49228539507,-0.76440115,0.9060462,1.00287563300452,1072.84048157373,1743.84792815441,"4"
"beta_i[3]",-0.000463586731499999,0.00640166,0.498908764337998,0.4934885991,-0.84574005,0.82155745,1.00282712784304,1071.36898685082,1738.05123164688,"5"
"beta_i[4]",0.08599426696845,0.09444005,0.498946724889892,0.490799904,-0.76178245,0.9066418,1.00286584353584,1071.08175936988,1718.79656870555,"6"
"beta_j[1]",0.517143122858,0.512006,0.289994282268146,0.2942204874,0.05063265,0.9979675,1.00511607849382,324.927841143375,756.380457136376,"7"
"beta_j[2]",0.247261136065075,0.2433845,0.290135666638271,0.2995126281,-0.2213862,0.72621975,1.00508275988398,325.269841919985,777.975977507794,"8"
"beta_j[3]",0.02670531991825,0.0199887,0.289746113289743,0.2958076107,-0.43891365,0.5096581,1.00526441086092,325.899616796397,754.511883689404,"9"
"beta_j[4]",0.067478588624925,0.06386995,0.289186605043022,0.29723172213,-0.4008457,0.54767755,1.0050498571854,324.722438798875,755.752123660025,"10"
"beta_j[5]",-0.185070258145617,-0.1897385,0.289167548036047,0.29761275033,-0.65603715,0.2973376,1.00510828956433,324.343922301389,787.441365142725,"11"
"beta_j[6]",-0.047795990840875,-0.0535503,0.289799231726528,0.2990819328,-0.5149332,0.4341656,1.0052918739791,326.366878860837,783.482295660557,"12"
"beta_j[7]",0.20884370651795,0.2027815,0.289266682200043,0.297860218509,-0.26402735,0.69200235,1.00526577872848,326.329694456534,790.290604181284,"13"
"beta_j[8]",0.213843786321,0.2104395,0.289090642178649,0.29594593728,-0.25414545,0.70010355,1.00507488068688,326.487414674668,760.133745844938,"14"
"beta_j[9]",-0.27869103329775,-0.285059,0.289911230483748,0.2984933406,-0.7458411,0.20694065,1.00516090889569,324.324801810799,785.620592424822,"15"
"beta_j[10]",-0.2387135354045,-0.2449245,0.289621754289861,0.29941803822,-0.7087453,0.24114235,1.0051764611709,327.227032168367,765.363985377237,"16"
"beta_j[11]",-0.166248630317025,-0.1702625,0.289682375291458,0.2986734765,-0.63618335,0.3180251,1.00514405207202,326.225282670087,776.701887576387,"17"
"beta_j[12]",-0.07284900092275,-0.07916355,0.28978634376842,0.2932108368,-0.54293385,0.41183825,1.00515370651919,325.944664147888,748.557515252927,"18"
"beta_m[1]",-2.9077468595,-2.890135,0.531705445430191,0.526263696,-3.809713,-2.0403055,1.00822834105377,300.805217152937,1233.05467356038,"19"
"beta_m[2]",-1.042636229263,-1.047135,0.498054977128127,0.4978400301,-1.850209,-0.21685765,1.02203545037338,322.34265383213,904.190698803791,"20"
