"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_j[11]",-0.11103697686175,-0.1127205,0.291533130405325,0.289492476,-0.58541395,0.3732023,1.0123106706136,681.752818816527,1152.26197464244,"17"
"beta_j[12]",-0.038274231554425,-0.040527,0.292749263882428,0.2914598862,-0.50956595,0.4393552,1.01225466919404,732.551404230262,1167.11437411408,"18"
"beta_m[1]",-0.9825541976975,-0.9751515,0.845816609363294,0.8412109314,-2.3977395,0.41111985,1.0009494327138,3575.18297178572,2902.92879825747,"19"
"beta_m[2]",-1.3835412780825,-1.380335,0.609742751280856,0.6139654164,-2.382699,-0.3725642,1.00139965478499,964.080789607085,1620.73411567485,"20"
"beta_m[3]",-1.5347345146875,-1.53241,0.581440917068306,0.576553488,-2.4988385,-0.58089385,1.00630686513384,858.494004537408,1968.28720062279,"21"
"beta_m[4]",0.29817607399375,0.317253,0.602269881509151,0.60693915261,-0.71497645,1.2603205,1.00469910411643,850.753730539847,1494.36856850271,"22"
"beta_m[5]",3.957067035,3.961035,0.633895082540223,0.638303778,2.916675,4.998384,1.0070052489395,816.484802920976,2047.02987350963,"23"
"beta_r[1]",-0.81821969150875,-0.823193,0.360677085281119,0.3537713403,-1.4059765,-0.2054342,1.01911545537966,278.736776249128,628.318306768702,"24"
"beta_r[2]",1.46689200525,1.458675,0.363182557563545,0.36242157,0.87383855,2.0753515,1.01849712266252,276.616239180239,544.145365709047,"25"
"beta_r[3]",0.00939025165874997,0.01055855,2.16986039965197,2.16969399423,-3.5543275,3.5391405,1.00392760511566,12267.9677475821,2252.47901352735,"26"
"beta_r[4]",-0.00967254042599991,0.039736,2.29564842441789,2.232009822,-3.797435,3.799329,1.00126549999162,11000.3369842692,2598.5617890165,"27"
"beta_r[5]",-0.01671625190375,0.0159893,2.22631620759244,2.22110426118,-3.703374,3.6083335,0.999838813616218,10045.6970141659,3080.15187734573,"28"
"beta_r[6]",-0.0529636605122499,-0.0520556,2.2026166133561,2.163684201,-3.7488435,3.477716,1.00447032414263,10400.617200583,2459.79535642993,"29"
"beta_r[7]",-0.01276789483625,-0.01732315,2.3055235908166,2.25504668319,-3.740153,3.780526,0.999696664420881,8893.06100494626,2415.81342899401,"30"
"beta_r[8]",0.0323915642275,0.01727065,2.20808372820339,2.146456389,-3.544421,3.7117465,1.00141779111086,9089.24012000634,2585.37364424419,"31"
