"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"lp__",-8771.8448175,-8771.435,19.183037806916,19.8446010000003,-8803.8925,-8740.6995,1.00855854363337,980.632940129811,1529.70379699151,"1"
"beta0",9.2212407875,9.215275,0.733670039780332,0.718883087999999,8.001913,10.41776,1.00223227673468,487.211388716759,1307.6731097708,"2"
"beta_i[1]",0.22909191036075,0.227994,0.491290939288833,0.4971054018,-0.57999835,1.045851,1.00038848802644,1328.42927688943,1735.40212948222,"3"
"beta_i[2]",0.1064886159905,0.108029,0.491222155318315,0.4949252385,-0.6994539,0.9268632,1.00037528797551,1331.4482833129,1743.1304304352,"4"
"beta_i[3]",0.01715553033925,0.01822015,0.491518989151542,0.49520344839,-0.7893642,0.836485349999999,1.00039326888756,1331.4710695649,1730.54755887607,"5"
"beta_i[4]",0.103590615995,0.1018675,0.491616041771269,0.4946450271,-0.70274655,0.9240455,1.00037932135496,1329.71670437656,1745.92370513065,"6"
"beta_j[1]",0.518760637135,0.5278045,0.295065267559605,0.2894917347,0.02068613,1.0042795,1.00846575275123,348.396747724959,574.951602632121,"7"
"beta_j[2]",0.249097732106025,0.257698,0.295312695572924,0.28948528539,-0.2481368,0.7393368,1.00842923507764,347.253576562255,614.296355408086,"8"
"beta_j[3]",0.02880383865615,0.03670105,0.295323360312267,0.2899535646,-0.4723429,0.5143418,1.00869594897525,347.321654754496,572.185279184421,"9"
"beta_j[4]",0.0683740071173275,0.07507715,0.295080602341324,0.28960641381,-0.4329944,0.5534686,1.00876236602702,347.727142378764,608.887118521874,"10"
"beta_j[5]",-0.18377259098475,-0.1749575,0.295490112538865,0.28931404509,-0.68466375,0.30393885,1.00857740318572,346.197401762722,595.838707743219,"11"
"beta_j[6]",-0.04677723640175,-0.03893585,0.295178520333304,0.28729800561,-0.54701025,0.43718705,1.00881257711048,344.35307660068,613.345495133667,"12"
"beta_j[7]",0.210372068589875,0.2192185,0.295564049869823,0.29058396612,-0.2941126,0.69795345,1.00872161848011,347.191858235945,556.971529638047,"13"
"beta_j[8]",0.21545366590145,0.2233935,0.295646207751171,0.28832381655,-0.2825569,0.70849215,1.00878012766142,346.664817460344,638.554242704086,"14"
"beta_j[9]",-0.27693822501325,-0.270705,0.295126045476704,0.28623105252,-0.7808535,0.20694935,1.00862711651396,345.322333128709,594.782924269681,"15"
"beta_j[10]",-0.23809728297905,-0.2307825,0.295300537253818,0.28727776812,-0.7355582,0.249062499999999,1.00877011971293,347.241563349962,623.468483947953,"16"
"beta_j[11]",-0.16507778936525,-0.1566045,0.295370301824597,0.28752632601,-0.66467955,0.3168311,1.00867058697412,349.738060567724,603.469639164726,"17"
"beta_j[12]",-0.07183393288255,-0.06445085,0.295239897404863,0.28935511311,-0.5721113,0.4197945,1.00893328281023,346.832045671943,558.724261566835,"18"
"beta_m[1]",-2.938591195,-2.93015,0.534713260536777,0.532987287,-3.820344,-2.0712675,1.0090954783664,300.405133960572,1135.37948611244,"19"
"beta_m[2]",-1.0720987429375,-1.065875,0.513790147575395,0.5233963476,-1.923937,-0.2424827,1.00686421077115,365.920067288094,1159.47219200843,"20"
"beta_m[3]",-1.39501432235,-1.379255,0.509889433147856,0.510992916,-2.249674,-0.57598175,1.01057588859168,276.237424548979,1127.25620526543,"21"
"beta_m[4]",0.04170177726675,0.0506418,0.486843883201464,0.4803460914,-0.7516558,0.84060145,1.00891353882142,357.462404043817,1058.31754856925,"22"
"beta_m[5]",5.71580478,5.73143,0.537758789669233,0.542668665,4.8208265,6.577446,1.0151242817741,288.161558066707,659.31876043971,"23"
"beta_l_z[1]",0.012121586956035,0.0122675,0.00660519219917632,0.006555842223,0.0012440865,0.02304294,1.00567318125604,752.854955352786,1268.35355844136,"24"
"beta_l_z[2]",-0.0158400559,-0.0158228,0.00389215524874376,0.00398930595,-0.02227601,-0.00944490000000001,1.00410914186774,692.312968059126,1573.50004446052,"25"
"beta_l_z[3]",0.003718468998835,0.00360549,0.00491394307126114,0.004922580411,-0.004365537,0.011990315,1.00571265124069,901.713823137208,1433.50827941605,"26"
"beta_r[1]",-1.18272237098,-1.184925,0.290264207993547,0.2881092102,-1.643266,-0.7103237,1.03821466569707,71.4289326160915,106.57889382079,"27"
"beta_r[2]",1.102280106425,1.09872,0.291002772927481,0.2861321631,0.6355458,1.583425,1.03094411784014,71.4346819559966,104.208757335351,"28"
"beta_r[3]",-0.00358251757824998,-0.00432929,2.44372987067234,2.457260187354,-3.979863,3.9873145,1.00024318616698,6152.5588055451,2995.85972733714,"29"
"beta_r[4]",0.011008366449,-0.01713975,2.37585978964644,2.287829712,-3.9080275,3.943071,1.00211740055403,6740.84935477446,3144.46509329555,"30"
"beta_r[5]",0.0146241784525,0.00132532,2.41256216671313,2.309097609,-3.9186055,4.056231,1.00360716172521,4879.78331434299,2473.19145039961,"31"
"beta_r[6]",-1.9258487795,-1.925815,0.291433566709243,0.292998825,-2.400003,-1.4496375,1.03312386886885,73.0184162618726,102.360077468971,"32"
"beta_r[7]",-0.0256298491052499,-0.03991045,2.39445360887006,2.38020985083,-4.0760765,3.978044,1.00091120351913,5654.99257682259,3108.42692368123,"33"
"beta_r[8]",-2.2791252125,-2.275765,0.290971656027881,0.286549515,-2.737795,-1.7885285,1.03100083831683,72.191613956028,113.51292305615,"34"
"beta_r[9]",0.01151788101625,0.0105458,2.45334237332031,2.46952352808,-4.01186,4.0000625,1.0018947514394,5370.77827281338,2687.53373851236,"35"
